,Quantity,Item Price,Shipping-Price,Total,Profit %,Profit (INR),Cost Price,clusters,cluster
3327,1,500.0,89.0,589.0,13,65.0,435.0,3,black
3328,1,144.0,69.0,213.0,18,25.92,118.08,2,dark purple
3329,1,1195.0,69.0,1264.0,13,155.35,1039.65,1,purple
3330,1,1195.0,89.0,1284.0,13,155.35,1039.65,1,purple
3331,1,144.0,89.0,233.0,18,25.92,118.08,2,dark purple
3332,1,1195.0,89.0,1284.0,13,155.35,1039.65,1,purple
3333,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3334,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3335,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3336,1,450.0,89.0,539.0,18,81.0,369.0,0,pink
3337,1,638.5,79.0,717.5,13,83.005,555.495,3,black
3338,3,1143.0,89.0,1232.0,18,205.74,937.26,1,purple
3339,1,395.0,79.0,474.0,17,67.15,327.85,0,pink
3340,1,364.0,69.0,433.0,13,47.32,316.68,0,pink
3341,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3342,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3343,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3344,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3345,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3346,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3347,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3348,1,200.0,79.0,279.0,13,26.0,174.0,2,dark purple
3349,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3350,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3351,1,368.0,79.0,447.0,17,62.56,305.44,0,pink
3352,1,700.0,89.0,789.0,13,91.0,609.0,3,black
3353,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3354,1,320.0,89.0,409.0,17,54.4,265.6,0,pink
3355,1,140.0,79.0,219.0,18,25.2,114.8,2,dark purple
3356,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3357,1,638.5,89.0,727.5,13,83.005,555.495,3,black
3358,1,638.5,89.0,727.5,13,83.005,555.495,3,black
3359,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3360,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3361,1,378.0,79.0,457.0,18,68.04,309.96,0,pink
3362,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3363,1,140.0,79.0,219.0,18,25.2,114.8,2,dark purple
3364,1,378.0,89.0,467.0,18,68.04,309.96,0,pink
3365,1,175.0,79.0,254.0,18,31.5,143.5,2,dark purple
3366,1,207.0,89.0,296.0,18,37.26,169.74,2,dark purple
3367,1,140.0,89.0,229.0,18,25.2,114.8,2,dark purple
3368,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3369,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3370,1,175.0,89.0,264.0,18,31.5,143.5,2,dark purple
3371,1,612.0,79.0,691.0,13,79.56,532.44,3,black
3372,1,399.0,89.0,488.0,13,51.87,347.13,0,pink
3373,3,1408.5,89.0,1497.5,13,183.105,1225.395,1,purple
